"","date","crimes","arson","assault","damage","disorder","dui","drug","larceny","vehi_theft","family","away_team","home_team","day_night","completed","pitch","attendance","game_time","name","city","state","Game","Date","Opponent","Score","Decision","Record","X","X.1","X.2","X.3","X.4","X.5"
"189",2018-07-08,563,4,175,49,1,0,0,146,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",2018-07-09,609,1,168,53,7,0,0,184,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",2018-07-10,653,1,183,61,3,0,0,193,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",2018-07-11,683,0,174,72,6,0,0,189,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",2018-07-12,644,2,170,57,1,0,0,184,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",2018-07-13,678,0,166,90,3,0,0,199,11,4,"ANA","LAN","N",NA,"LOS03",53368,193,"Dodger Stadium","Los Angeles","CA","94","07-13-2018","vs Los Angeles Angels","3-2","W","52-42",NA,NA,NA,NA,NA,NA
"195",2018-07-14,625,2,167,59,5,0,0,182,8,3,"ANA","LAN","D",NA,"LOS03",53797,227,"Dodger Stadium","Los Angeles","CA","95","07-14-2018","vs Los Angeles Angels","4-5","L","52-43",NA,NA,NA,NA,NA,NA
"196",2018-07-15,678,0,210,66,5,0,0,190,10,4,"ANA","LAN","D",NA,"LOS03",47871,190,"Dodger Stadium","Los Angeles","CA","96","07-15-2018","vs Los Angeles Angels","5-3","W","53-43",NA,NA,NA,NA,NA,NA
"197",2018-07-16,689,1,176,65,2,0,0,186,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",2018-07-17,655,1,149,67,4,0,0,211,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",2018-07-18,597,1,140,60,0,0,0,199,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",2018-07-19,719,1,184,73,3,0,0,218,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",2018-07-20,670,1,163,70,2,0,0,195,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",2018-07-21,658,1,184,57,3,0,0,177,15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",2018-07-22,636,0,173,60,4,0,0,187,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",2018-07-23,671,2,181,61,7,0,0,179,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",2018-07-24,611,1,136,60,0,0,0,196,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",2018-07-25,587,3,137,59,2,0,0,171,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
